index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
3432	Lazarus, Moritz an Kuratorium der Zunz-Stiftung: Meran, 19.11.1902	Kuratorium der Zunz-Stiftung	Lazarus, Moritz	Meran	Meran	 19.11.1902
3433	Lazarus, Moritz an Neumann, Salomon: Schönefeld bei Leipzig, 04.08.1874	Neumann, Salomon	Lazarus, Moritz	Schönefeld bei Leipzig	Schönefeld bei Leipzig	 04.08.1874
3434	Lazarus, Moritz an Neumann, Salomon: Schönefeld bei Leipzig, 06.08.1874	Neumann, Salomon	Lazarus, Moritz	Schönefeld bei Leipzig	Schönefeld bei Leipzig	 06.08.1874
3442	Lazarus, Moritz an Steinschneider, Moritz: Schönefeld bei Leipzig, 20.06.1888	Steinschneider, Moritz	Lazarus, Moritz	Schönefeld bei Leipzig	Schönefeld bei Leipzig	 20.06.1888
3454	Lazarus, Moritz an Bacher, Wilhelm: Schönefeld bei Leipzig, 07.09.1891	Bacher, Wilhelm	Lazarus, Moritz	Schönefeld bei Leipzig	Schönefeld bei Leipzig	 07.09.1891
3455	Lazarus, Moritz an Liebermann, Felix: Schönefeld bei Leipzig, 29.09.1896	Liebermann, Felix	Lazarus, Moritz	Schönefeld bei Leipzig	Schönefeld bei Leipzig	 29.09.1896
3467	Lazarus, Moritz / Zunz-Stiftung <Berlin>. Rundschreiben (P.P.): o.O., 25.05.1888			 o.O.	 o.O.	 25.05.1888
3469	Lazarus, Moritz / Zunz-Stiftung <Berlin>. Votum über die jährigen (1902) Gesuche an die Zunz-Stiftung: o.O., 1902	die Zunz-Stiftung	Lazarus, Moritz / Zunz-Stiftung <Berlin>. Votum über die jährigen (1902) Gesuche	o.O.	o.O.	1902
3476	"Lerner, Meier an ""Lieber Freund"": Altona, 04.02.1916"	"""Lieber Freund"""	Lerner, Meier	Altona	Altona	 04.02.1916
3482	Levy, S. an Neumann, Salomon: o.O., o.D.	Neumann, Salomon	Levy, S.	o.O.	o.O.	 o.D.
3499	Lewin, Louis an Kuratorium der Zunz-Stiftung: Pinne, 02.02.1902	Kuratorium der Zunz-Stiftung	Lewin, Louis	Pinne	Pinne	 02.02.1902
3500	Lewin, Louis an Kuratorium der Zunz-Stiftung: Pinne, 03.02.1903	Kuratorium der Zunz-Stiftung	Lewin, Louis	Pinne	Pinne	 03.02.1903
3506	Liebermann, Felix / L. Schwager & D. Fränkel: Husiatyn, 09.03.1910			Husiatyn	Husiatyn	 09.03.1910
3557	Liebermann, Felix an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 11.08.1905	Wissenschaftlicher Beirat der Zunz-Stiftung	Liebermann, Felix	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 11.08.1905
3558	Liebermann, Felix an Unbekannt: / Herr Doctor: Berlin, 08.12.1905	Unbekannt	Liebermann, Felix	/ Herr Doctor: Berlin	/ Herr Doctor: Berlin	 08.12.1905
3563	Liebermann, Felix / Preußen / Polizeipräsidium <Berlin>: / Polizei-Präsident: Berlin, 08.01.1910			/ Polizei-Präsident: Berlin	/ Polizei-Präsident: Berlin	 08.01.1910
3566	Liebermann, Felix an Unbekannt: / Verehrter Freund: Berlin, 21.10.1911	Unbekannt	Liebermann, Felix	/ Verehrter Freund: Berlin	/ Verehrter Freund: Berlin	 21.10.1911
3568	Liebermann, Felix an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 27.03.1912	Wissenschaftlicher Beirat der Zunz-Stiftung	Liebermann, Felix	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 27.03.1912
3569	Liebermann, Felix an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 03.03.1913	Wissenschaftlicher Beirat der Zunz-Stiftung	Liebermann, Felix	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 03.03.1913
3593	Liebermann, Felix an Brünn, Siegfried / Simon, Herman Veit: o.O., o.D.	Brünn, Siegfried / Simon, Herman Veit	Liebermann, Felix	o.O.	o.O.	 o.D.
3680	Liebermann, Felix an Barol, Moses: o.O., 28.03.1806	Barol, Moses	Liebermann, Felix	o.O.	o.O.	 28.03.1806
3709	Liebermann, Felix an Barol, Moses: o.O., o.D.	Barol, Moses	Liebermann, Felix	o.O.	o.O.	 o.D.
3710	Liebermann, Felix an Barol, Moses: o.O., o.D.	Barol, Moses	Liebermann, Felix	o.O.	o.O.	 o.D.
3711	Liebermann, Felix an Barol, Moses: o.O., o.D.	Barol, Moses	Liebermann, Felix	o.O.	o.O.	 o.D.
3722	Liebermann, Felix an Neumann, Salomon: o.O., o.D.	Neumann, Salomon	Liebermann, Felix	o.O.	o.O.	 o.D.
3723	Liebermann, Felix / Simon, Herman Veit an Unbekannt: o.O., 29.12.1907	Unbekannt	Liebermann, Felix / Simon, Herman Veit	o.O.	o.O.	 29.12.1907
4011	Loewenthal, A. (Rabbiner). Inhalt-Verzeichnis: o.O., o.D.			 o.O.	 o.O.	 o.D.
4014	Loewy, Albert an Neumann, Salomon: Windsor, 11.04.1875	Neumann, Salomon	Loewy, Albert	Windsor	Windsor	 11.04.1875
4016	Loewy, Albert an Neumann, Salomon / Mocatta, Frederick David: o.O., 1875	Neumann, Salomon / Mocatta, Frederick David	Loewy, Albert	o.O.	o.O.	1875
4028	Löwenstein, Jakob an Kuratorium der Zunz-Stiftung: Gailingein, 13.07.1886	Kuratorium der Zunz-Stiftung	Löwenstein, Jakob	Gailingein	Gailingein	 13.07.1886
4032	Löwenstein, Josef an Kuratorium der Zunz-Stiftung: Chrast bei Chrudim, 15.06.1898	Kuratorium der Zunz-Stiftung	Löwenstein, Josef	Chrast bei Chrudim	Chrast bei Chrudim	 15.06.1898
4033	Löwenstein, Josef an Kuratorium der Zunz-Stiftung: Chrast bei Chrudim, 01.11.1898	Kuratorium der Zunz-Stiftung	Löwenstein, Josef	Chrast bei Chrudim	Chrast bei Chrudim	 01.11.1898
