title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
-;Eugen;Kaufmann;75;51.8.62;;-;-
-;Jizchak;Kaznelson;-;5.7.64;2o.Todestg;-;-
Dr.;Victor;Ketlner;75;25.11.62;(HBergman);-;-
-;Shoshana;Kellner-Gilad;-;-;"Nachr.5.5.65  """;-;-
-;Moshe;Keren(Krämer);-;-;Erich  Nachr.2o.8.65(RW);-;-
Dr.;Siegfried;Kessler;-;9.8.65;Gedächthisfonds;-;-
Prof.;Leo;Kestenberg;-;26.1.62;Nachrufe  aJ-L.  .);-;-
Dr.;Bruno;Kirschner;-;-;Nachr.24.4.64(Herlitz);-;-
-;Martin;Kirschstein;-;-;Nachr.26.7.65(BC);-;-
-;Edith;Klee;-;-;Nachr.18112.64;-;-
Dr.;Rudolf;«■Kiwi;-;17.9.65;Nachr.;-;-
-;;Klinghoffer;-;7.2.64;David  Nachr.  (ZKr)KMpfxkrxKKrrjrx?5xi2xix£2;-;-
Dr.;Harry;Knopf;-;12.1.62;75:  (OH);-;-
-;Else;Kober;-;-;Nachr.8.5.64;-;-
Dr.;Franz;Kobler;-;-;Nachr.4.6.65  u.25.6.65;-;-
-;Charlotte;Köbner;-;-;"""achr.6.8.65";-;-
Prof.;Hans;Kohn;-;-;Rez.25.5.62(Gottgetreu);-;-
-;Arthur;Kohn;-;-;8o:5o.lo.64;-;-
-;Meir;Königshöfer;-;-;9o:9-5.62;-;-
-;Fritz;Kortner;-;-;7o:25.5.62;-;-
Dr.;Siegfried;Kracauer;-;-;75  :51.1.64;-;-
Dr.;Markus;Kraemer;-;-;Nachr.12.6.64;-;-
-;Karl;Kraus;-;-;K.K.29.5.55(M.Teich);-;1874-1956
-;Elijahu;Krause;-;-;Nachr.1.6.62;-;-
-;Wilhelm;Kreil;-;-;6o:24.8.62(HT);-;-
Dr.;Gustav;Krojanker;-;16.7.65;2o.Todestg  HT);-;-
Prof.;Baruch;Kurzweil;-;24.1.64;Bialikpreis;-;-
Dr.;Rudolf;K'istermeier;-;-;6o:22.2.65;-;-
-;Hedwig;Lachmann;-;10.9.65;loo.Geburtstg;-;-
Dr.;Siegfried;Landau;-;-;Todanz.1.6.62;-;-
-;^r.Georg;Landauer;-;2.2.62;8.Todestg  HT);-;-
Dr.;Abraham;Landsberg;75;27.4.62;HT);-;-
-;Silvius;Landsberg;-;26.4.63;Würdigung  Gottgetr);-;-
Prof.;Franz;Landsberger;-;-;Nachr.10.4.64;-;-
-;Ferdinand;lassale;-;6.11.64;loo.Todestg;-;-
Dr.;Max;Läufer;-;-;Nachr.25.1.63;-;-
Dr.;Fr.E.Nachr.26.2.65;Laupheimer;-;-;;-;HBarth
-;Sir;Lauterpacht;-;4.5.62;Hersh  2.Todestg;-;-
-;T.E.;Lawrence;-;7.6.63;Briefe  Arnold);-;-
-;Bernard;Lazare;-;11.6.65;loo.Geburtatg;-;-
Dr.;Julius;Leber;-;2.8.63;(PRosenblüth);-;SPD-Führer
Dr.;Siegfried;Lehmann;-;5.1.62;(Gedenken:7o);-;-
Prof.;Theodor(;Lessing;-;-;"1872-1933)	x.  faS""  Ct<L-  )  '  /";-;-
Dr.;John;Levy;-;-;7o:8.2.63	U;-;-
-;Shmarjahu;Levin;-;18.6.65;3o.Todestg;-;-
-;Anna;Levy-Salz;-;3.12.65;Nachr.;-;-
Dr.;Ernst;Lewy;-;-;Nachr.  lo.5.63(MTP);-;-
-;Philipp;Lichtenstein;-;-;Nachr.9.3.62;-;-
Prof.;Hans;Liebeschütz;-;-;7o:29.11.63(HT);-;-
-;"E.M.(6o:""";Lilien;-;25.5.34);"Jlid.  Rundschau""";-;-
Dr.;Eduard;Liepmann;-;-;Nachr.3.1.64;-;-
-;Shlomo;Lion;-;-;7o:22.11.63;-;-
-;Marianne;Littmann;-;-;Todanz„9.8.63;-;-
-;Berl;Locker;75;1.6.62;AdlerRudel);-;-
Dr.;Giora;Lothan;-;-;6o:13.7.62(HT,MTP);-;-
-;Jakob;Löw;-;-;Nachr.21.6.63	H  T  );-;-
-;Alexander;Löwenstein;-;-;9°:11.1.63;-;-
Dr.;Fritz;Loewenstein;-;-;;-;perez
-;Joseph;Löwy;-;-;in  roemor.29.lo.65;-;-
Rabb.;S„;Löwy;-;-;8o:3.9.65;-;-
Dr.;E.G.;\Lowenthal;-;25.12.64;6o:  HT)	—w  *•';-;-
-;Bernhard;Lustig;-;6.9.64;"8o;";-;-
-;David;Luschnat;-;-;7o:8.1o.65;-;-
-;;Lüth;-;31.1.64;Erich(  geb.  19o2)6o:  irr);-;-
-;Gustav;Mahler;-;-;;-;186o-1911
-;Thomas;Mann;-;-;l.Briefbd.2.2„62(Gottgetr);-;-
Dr.;Alfred;Marcus;-;-;"Nachr.26.1.62	""	t  /'";-;-
-;Hanna;Marcus;-;-;Nachr.21.5.65;-;-
Dr.;Max;Marcuse;65;6.4.62;;-;-
-;Julius;Ma^golinski;-;-;7o:26.11.65;-;-
-;Ludwig;Markowicz;-;-;Nachr.21.12.62(I-Uacohs  on);-;-
Dr.;Walter;-Mannheim;-;-;7o:  22.lo.65;-;-
-;Roland;Marwitz;-;-;Nachr.5.1.62;-;-
-;Zenta;Maurina;-;-;Rez.16.3.62(ArnoId);-;-
-;Richard;Mayer;-;-;9o:17.9.65;-;-
Dr.;Bugen;Mayer;-;-;8o:6.6.62(ESiraon);-;-
-;Ludwig;Mayer;85;21.2.64;;-;-
-;Ludwig;Meidner;80;8.5.64;;-;-
-;Moses;Mendelssohn;-;25.5.62;Judenstaatsprojekt  /7.6.62/lo.8.62;-;-
