title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
-;Emmy;Hirschberg;-;-;8o:19.2.65(MTP);-;-
-;Rolf;Hochhuth;-;19.04.1963;Stellvertreter  HT);-;-
-;Martha;Hofmann;-;-;7o:  26,11.65;-;-
-;Rosa;Holde;-;-;Nachr.17.9.65;-;-
Dr.;Gerhard;Holdheim;-;23.11.1962;7o:  PHirsch);-;-
-;Ricarda;Huch;-;17.07.1964;(1864-1947);-;-
Dr.;Erich;Hurwitz;-;03.05.1963;2.Todestg;-;-
-;Rafael;Hurwitz;-;-;Todanz.8.3.63;-;-
-;Max;Hurwitz;-;-;Nachr.5.3.65;-;-
-;Abraham Adolf;Israeli;-;-;Nachr.21.12.62;-;-
Dr.;Josef;Jacobsohn;-;-;6o:8.5.64;-;-
Dr.;Jacob;Jacobsohn;-;-;7o:22.11.63  (ST);-;-
Dr.;Paul;Jakob;;;;;
Prof.;Karl;Jaspers;-;2.9.6o;GesprÃ¤ch;-;-
Prof.;Edmund;Jerusalem;;;;;
-;Jewgeni;Jewtuschenko;-;29.06.1962;Babi  Jar  EMayer);-;-
Prof.;Karl;Joel;-;27.7.34.;"(1864-1934)""Jiid.Rundschau""  u.27.11.34";-;-
Dr.;Giora;Josephtal;-;-;Nachr.31.8.62(Lotan);-;-
Dr.;Adolf;Juda;-;-;8o:2.3.62;-;-
Dr.;Max;Jungmann;-;02.04.1965;90:  EAuerbach);-;-
Dr.;Schlomo;Juliusburger;-;-;Nachr.3o.4.65;-;-
Dr.;Leo;Kadman;-;-;Nachr.lo.l.64(Preuss);-;-
-;Franz;Kafka;-;16.04.1962;Betrachtungen  Kraft);-;1885-1924
Prof.;Paul;Kahle;-;-;Nachr.5o.Io.64;-;-
Dr.;Paul;Kahn;-;-;Nachr.20.5.64;-;-
Dr.;Siegfried;Kanowitz;-;-;l.Todestg  lo.8.62(BC);-;-
Dr.;Charles J.;Kapralik;-;-;7o:  5o.4.65(ht);-;-
-;Katharina;Kardorff-Oheimb von;-;-;v.  Nachr.6.4.62;-;-
-;Shmuel;Katz;-;14.09.1962;WÃ¼rdigung  (HStrauss);-;-
Dr.;Julius;Kaufmann;-;-;Nachr.2.4.65;-;-
-;Eugen;Kaufmann;75;51.8.62;;-;-
