first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
lienachen;Yalevy;14.9.73;Rez.;-;-;-;-;MBNR.6.PER.156
;Hamburger;1.1.71;Frnest  &£00  HT;-;-;-;-;MBNR.6.PER.157
Chaim;Basas;-;27.4.,73;-;Nachruf;-;-;MBNR.6.PER.158
Fardinal;Heenan;6.10.72;John  ..u.russ.Juden  li!;-;-;-;-;MBNR.6.PER.159
;Heine;-;Heinrich  Gemälde  v,Is,Fopper  7.:.70;-;-;-;-;MBNR.6.PER.160
;Heinemarn;7.5.71;dar  70;-;-;-;-;MBNR.6.PER.161
;Herder;-;Joh.Gottfr,  Betrachtung  H.Rermman  ”,*,71;-;-;-;-;MBNR.6.PER.162
Chemla;Herlitz;-;Lotte  20.7,70;-;Nachruf;-;-;MBNR.6.PER.163
Georg;bermann;1.10.71;loo.Geburtstar;-;-;-;-;MBNR.6.PER.164
Stephan;Ilermlin;15.12.72;Heinenreis  DDR;-;-;-;-;MBNR.6.PER.165
Leo;Ilerrmann;-;?0,Todestar  ?6,11.71;-;-;-;-;MBNR.6.PER.166
;Herrmann;-;'arianne  *.2,71;-;Todesanzeige;-;-;MBNR.6.PER.167
imil;Ierz;-;Todesnachricht  6.2,71;-;-;-;-;MBNR.6.PER.168
Theodlor;Nerz1;21.7.7?;Haus  in  Jerusalem;-;-;-;-;MBNR.6.PER.169
;eschel;-;Ahr,  Joshua  19,1,73;-;Nachruf;-;-;MBNR.6.PER.170
\oses;lless;-;Grab  in  Kinneret  4,0,70;-;-;-;-;MBNR.6.PER.171
.Karkus;H.u;-;Horovitz  14,0,77;-;-;-;-;MBNR.6.PER.172
Termaun;Hesse;-;Briefwechsel  „uhrkamnp  16,1.70;-;-;-;-;MBNR.6.PER.173
;denss;-;Theodor  Tageh’icher  RY  ?5,1°,70;-;-;-;-;MBNR.6.PER.174
;Heyn;-;Stefan  Knie  David  Rez.  ?9,6,77;-;-;-;-;MBNR.6.PER.175
’arl;Hilb;-;lachruf  1°,5,.73;-;-;-;-;MBNR.6.PER.176
Furt;liller;70.11.70;Autobiosr,;-;-;-;-;MBNR.6.PER.177
.Gedenken;z;-;?7.10.72;-;-;-;-;MBNR.6.PER.178
Far];ılirsch;3.8.73;Jakob  Bioer.HT;-;-;-;-;MBNR.6.PER.179
Tanl;Mi.rsch;-;0,7,73;-;Nachruf;-;-;MBNR.6.PER.180
;Hirsch;22.7.7;rof.“illi  Gdenkfeieranzeipe;-;-;-;-;MBNR.6.PER.181
;iirschmann;-;Fritz  S.  70  8.12,72;-;-;-;-;MBNR.6.PER.182
