first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
Georg;Landauer;7.2.69;15.lodestag(RW,HT,KL);-;-;-;-;MBNR.5.PER.118
Gustav;Landauer;-;50.Todestag(HT)  22,5.69;-;-;-;-;MBNR.5.PER.119
Siegfried;Landshut;31.1.69;;-;-;-;-;MBNR.5.PER.120
Else;Lasker-schüler;-;;-;-;-;-;MBNR.5.PER.121
;un;-;ro  -;-;-;-;-;MBNR.5.PER.122
Neville;Laski;-;Todesnachricht  18,4.69;-;-;-;-;MBNR.5.PER.123
Ferdinand;lassalle;-;;-;-;-;-;MBNR.5.PER.124
;Lauterbach;9.8.68;Leo  Nachruf(H7);-;-;-;-;MBNR.5.PER.125
;Lazarus;1.11.68;Paul  -z.Gedenken{Elk);-;-;-;-;MBNR.5.PER.126
Siegfried;Lehmann;1.11.68;seine  Erziehungslehre  (S4ihon);-;-;-;-;MBNR.5.PER.127
lhotte;Lenya;-;Orden;-;-;-;-;MBNR.5.PER.128
Adolf;Leschnitzer;7.2.69;70(Simon);-;-;-;-;MBNR.5.PER.129
irimo;Levi;2.4.69;;-;-;-;-;MBNR.5.PER.130
Fanny;Lewald;19.12.69;Erinnerungen;-;-;-;-;MBNR.5.PER.131
frfjgve;Lie;10.1.69;;-;Nachruf;-;-;MBNR.5.PER.132
ilax;Liebermann;16.5.69;Ausstellg  LBI  New  York;-;-;-;-;MBNR.5.PER.133
Hans;Liebeschütz;6.12.68;75  (HT);-;-;-;-;MBNR.5.PER.134
Elieser;liebschütz;30.8.68;-75;-;-;-;-;MBNR.5.PER.135
David;Lilienthal;-;LE,;-;-;-;-;MBNR.5.PER.136
Schlomo;Lion;22.11.68;75  (HT);-;-;-;-;MBNR.5.PER.137
Giora;Lotan;7.3.69;Amtsniederleguns(MIP);-;-;-;-;MBNR.5.PER.138
Heinrich;Loewe;24.1.69;-Palästinareise(Gottgetreu);-;-;-;-;MBNR.5.PER.139
Otto;Loewi;-;Biogr.;-;-;-;-;MBNR.5.PER.140
Joseph;Loewy;-;20.l'odestap(Auerbach)  24.4,69;-;-;-;-;MBNR.5.PER.141
Zwi;luft;-;20,lodestag  21.3,69;-;-;-;-;MBNR.5.PER.142
liosa;Luxemburg;31.1.69;-50.Todestag;-;-;-;-;MBNR.5.PER.143
Erika;Mann;3.10.69;Nachruf(Gottgetreu);-;-;-;-;MBNR.5.PER.144
lleinrich;Hann;-;Briefwechsel  m.ihomas  M.(KL)  12,9.69;-;-;-;-;MBNR.5.PER.145
Ihomas;Mann;24.1.69;-Düsseldorfer  Sammlung;-;-;-;-;MBNR.5.PER.146
tGabriel;Marcel;11.7.69;Honor  Erasmus-Preis;-;-;-;-;MBNR.5.PER.147
lierbert;Marcuse;7.3.69;Streit  um  Frofessur;-;-;-;-;MBNR.5.PER.148
Ludwig;Marcuse;-;-75;-;-;-;-;MBNR.5.PER.149
Alfred;Marx;-;;-;-;-;-;MBNR.5.PER.150
